Prefix
DE
EL
LA
DEL
LAS
LOS
O
Y
VAN
DER
VON
MC
MAC
DU
DO
AM
ZU
LE
DES
D
D'
O'
VER
DEN
OP
TER
TEN
VAN'T
DELLA
DI
A
DAS
DOS
OF
AND
THE
&
